cluster,cluster_type,volatility_std_mean,volatility_std_std,volatility_std_min,volatility_std_max,extreme_positive_count_mean,extreme_positive_count_std,stability_inverse_volatility_mean,stability_inverse_volatility_std,num_countries
0,Stable Markets,0.9,0.303,0.375,2.011,1.012,1.038,1.234,0.418,168
1,Volatile Markets,3.242,3.037,1.095,14.77,4.088,1.913,0.502,0.274,34
