country,volatility_std,high_volatility_periods,extreme_positive_count,extreme_negative_count,crisis_events,total_extreme_events,max_positive_extreme,max_negative_extreme,avg_extreme_magnitude,stability_inverse_volatility,time_in_normal_range,recovery_speed,consistency_score,cluster
Togo,0.6777845457782788,11,0,3,0,3,0.0,-1.69,-0.46399999999999997,1.4732215195816263,0.8863636363636364,1.0,0.5894448252227553,0
Tonga,0.49152615310243003,3,0,0,0,0,0.0,0.0,0.0,2.030349035682642,1.0,1.0,0.6193425440686041,0
Trinidad and Tobago,0.37459910543929276,2,0,0,0,0,0.0,0.0,0.0,2.6624131567896607,1.0,1.0,0.6914893617021277,0
United Arab Emirates,0.7437991966236313,2,1,0,0,1,1.63,0.0,0.7925,1.3426437683247519,0.7142857142857143,0.75,0.6360078277886496,0
Tunisia,0.7730101163632983,6,1,0,1,1,2.1,0.0,-0.25499999999999995,1.2919727776925185,0.76,0.6,0.6281078251766552,0
Turkiye,0.8305923629972695,2,1,0,0,1,1.53,0.0,-0.14399999999999996,1.2025122457783846,0.6428571428571429,0.5,0.6226053639846743,0
Uganda,1.1565938255687473,12,3,2,3,5,2.15,-3.72,-0.07500000000000002,0.8638608619985352,0.6875,0.6,0.47126786257221037,0
Ukraine,0.5324332893541281,6,1,0,0,1,1.68,0.0,0.22999999999999998,1.8746486579620534,0.9411764705882353,1.0,0.653206650831354,0
North Macedonia,0.9497907932910321,2,1,0,1,1,3.32,0.0,3.32,1.051756082469664,0.9285714285714286,1.0,0.5343197698314838,0
"Egypt, Arab Rep.",1.147598813050225,13,5,0,2,5,3.25,0.0,0.9499999999999998,0.8706260085228495,0.5714285714285714,0.4166666666666667,0.46607975142413266,1
United Kingdom,0.9606777050044213,7,2,2,1,4,2.57,-1.61,-0.2183333333333333,1.0398494160737588,0.7272727272727273,0.5,0.5232992773486169,0
Tanzania,0.8743842618495842,10,1,2,0,3,1.8,-1.73,0.1388888888888889,1.1423554701418979,0.7352941176470589,0.4444444444444444,0.5709342560553633,0
United States,0.9033588118002408,6,0,1,0,1,0.0,-1.84,-0.040000000000000036,1.1057557984196265,0.7142857142857143,1.0,0.4777655273796398,0
Burkina Faso,0.7584257769161786,10,1,2,1,3,1.88,-2.5,-0.9785714285714286,1.316784378929996,0.8409090909090909,0.5714285714285714,0.5976372480889507,0
Uruguay,0.6596100754199082,10,1,0,0,1,1.75,0.0,0.41,1.5137522681051496,0.8837209302325582,0.8,0.6084311169056932,0
Uzbekistan,2.6722501601398294,5,1,2,3,3,4.12,-8.54,-2.2874999999999996,0.374076476235091,0.7142857142857143,0.25,0.3140855279052911,1
"Venezuela, RB",1.494096717083603,7,4,1,1,5,4.36,-1.65,1.1857142857142855,0.6688530504907008,0.5,0.5714285714285714,0.47324353840553335,0
Samoa,0.690963273804543,5,0,1,0,1,0.0,-1.82,0.25333333333333335,1.4451634036902186,0.8695652173913043,1.0,0.577124868835257,0
"Yemen, Rep.",3.0856261892186225,19,8,2,6,10,8.18,-12.97,1.1536363636363633,0.3239783306099497,0.6857142857142857,0.6363636363636364,0.304768734313374,1
Zambia,0.674801925670703,7,2,0,1,2,2.18,0.0,1.525,1.4797235136723605,0.8333333333333334,1.0,0.5738522954091817,0
Central African Republic,1.0646150698320873,10,1,2,2,3,2.08,-2.62,-0.9299999999999999,0.9384251671267877,0.7777777777777778,0.75,0.47182903136275334,0
