country,volatility_std,high_volatility_periods,extreme_positive_count,extreme_negative_count,crisis_events,total_extreme_events,max_positive_extreme,max_negative_extreme,avg_extreme_magnitude,stability_inverse_volatility,time_in_normal_range,recovery_speed,consistency_score,cluster
Liberia,0.593983869086269,3,0,1,0,1,0.0,-1.69,-1.69,1.6807178344779734,0.9285714285714286,1.0,0.6100422336931018,0
Libya,0.7284289076288692,4,0,1,0,1,0.0,-1.56,-0.4866666666666668,1.3709355216681327,0.7857142857142857,0.6666666666666666,0.6149479659413435,0
Bhutan,0.8318298000952663,5,1,0,0,1,1.83,0.0,-0.6279999999999999,1.2007255262547176,0.6428571428571429,1.0,0.5062305295950156,0
Lithuania,0.9814059500985761,8,1,1,2,2,2.67,-3.06,0.5399999999999999,1.0179091442795705,0.8333333333333334,0.25,0.49473004947300486,0
Bolivia,0.6433773795210233,8,0,2,0,2,0.0,-1.78,-0.52,1.5518856368659575,0.8636363636363636,0.8333333333333334,0.6192396313364055,0
Luxembourg,1.3053197669067724,7,1,2,2,3,2.91,-2.77,0.18600000000000008,0.7655093533246418,0.6428571428571429,0.75,0.431320504313205,0
Bosnia and Herzegovina,0.9623536199318411,5,1,0,1,1,2.91,0.0,1.01,1.0380404239003655,0.7857142857142857,1.0,0.5380794701986754,0
Madagascar,0.6314790703788452,3,0,0,0,0,0.0,0.0,0.0,1.5810799864112743,0.8571428571428571,0.5,0.5936073059360731,0
Botswana,1.2897713161684803,13,5,3,5,8,5.2,-3.94,0.7292307692307692,0.7747305719253164,0.7592592592592593,0.6666666666666666,0.5324492666264817,1
Brazil,1.0408054398968238,16,3,2,4,5,2.52,-3.19,0.03200000000000001,0.9598721236270719,0.7619047619047619,0.6,0.5064229249011858,0
Belize,0.9983284498989052,2,1,1,2,2,2.61,-2.28,0.16500000000000004,1.0006720013836918,0.8571428571428571,1.0,0.624699663623258,0
Solomon Islands,0.7339701934669821,1,1,0,0,1,1.61,0.0,0.5366666666666667,1.3605993942187318,0.7857142857142857,0.5,0.7441327990841443,0
Malawi,0.9635220057930088,10,3,2,1,5,1.92,-2.91,0.285,1.0367829805788846,0.8181818181818182,0.8333333333333334,0.5314731772130875,0
Malaysia,0.6337980750996329,4,0,0,0,0,0.0,0.0,-0.039999999999999925,1.5753040836537633,0.8571428571428571,0.5,0.5501481168006771,0
Maldives,0.4318895361415595,0,0,0,0,0,0.0,0.0,0.0,2.310058147658689,1.0,1.0,0.6903876792352629,0
Mali,0.6335774640030704,7,0,1,1,1,0.0,-2.42,-0.9375,1.575851738717216,0.9090909090909091,1.0,0.6219265258894995,0
British Virgin Islands,0.6851381508238216,4,1,0,0,1,1.68,0.0,0.235,1.4574324409732,0.8571428571428571,1.0,0.582698341550874,0
Brunei Darussalam,1.9770418275178454,6,2,1,2,3,2.24,-6.47,-0.5019999999999999,0.5055504823448828,0.6428571428571429,0.75,0.3877124962719953,0
Malta,1.0694325305974193,7,1,1,1,2,4.36,-1.86,1.206,0.9342018029309049,0.7916666666666666,1.0,0.5227272727272727,0
Bulgaria,0.8582409942240388,6,1,1,2,2,2.12,-2.94,0.08000000000000007,1.1638178424006382,0.875,1.0,0.5168539325842697,0
Martinique,1.7197307869523755,5,1,2,3,3,2.2,-4.99,-1.028,0.5811484327371874,0.6428571428571429,0.5,0.41074249605055296,0
Myanmar,1.5981612155328178,11,5,1,5,6,4.32,-1.9,1.9962499999999999,0.6253278220400151,0.6666666666666666,0.8571428571428571,0.39498540271337795,1
Burundi,1.4030816262571992,15,3,6,5,9,2.24,-4.31,-1.0627272727272727,0.7122093055698319,0.6206896551724138,0.45454545454545453,0.3968253968253969,1
Belarus,0.7247115086938618,4,1,2,1,3,2.08,-2.0,-0.51,1.3779580288037647,0.875,0.3333333333333333,0.6204478014567035,0
Cambodia,0.4454577857540362,3,0,0,0,0,0.0,0.0,0.0,2.239853423792508,1.0,1.0,0.6703584960652871,0
Mauritania,1.3024209557668984,16,4,2,4,6,3.91,-2.17,0.7354545454545455,0.7672118478497428,0.6764705882352942,0.9090909090909091,0.4395897162648196,1
Cameroon,1.321086831529752,17,5,3,6,8,4.22,-3.43,0.33999999999999997,0.7563799715355506,0.6976744186046512,0.6153846153846154,0.4650132860938885,1
Canada,0.7401103061747772,4,0,0,0,0,0.0,0.0,-0.45333333333333337,1.3493268028634975,0.7857142857142857,0.6666666666666666,0.5669428696031399,0
Cabo Verde,0.9762507076642127,14,2,1,2,3,4.09,-2.33,0.06142857142857139,1.0232788701582645,0.8409090909090909,0.8571428571428571,0.5335649584315671,0
Cayman Islands,0.774217181996085,7,0,1,1,1,0.0,-2.03,-1.49,1.2899610886140682,0.7857142857142857,1.0,0.4782928623988227,0
Sri Lanka,1.2954809663812337,12,2,1,2,3,5.52,-1.88,0.466,0.7713186895378975,0.7058823529411765,0.6,0.4841549295774648,0
Chad,0.8023048868244481,10,0,1,1,1,0.0,-2.96,0.155,1.2448573591443084,0.8604651162790697,0.8333333333333334,0.5786718104160926,0
Chile,1.5122350033031966,16,6,0,3,6,7.82,0.0,1.2992857142857144,0.66083588987641,0.6666666666666666,0.5384615384615384,0.4451682953311618,1
China,1.9664792173998114,21,7,5,7,12,3.21,-6.38,-0.24187500000000017,0.5082645809705598,0.5789473684210527,0.4,0.35251524390243905,1
Colombia,1.0974192114319097,16,4,2,3,6,2.83,-2.05,0.5944444444444444,0.9103992260808973,0.5909090909090909,0.4444444444444444,0.5322440896150513,1
Mauritius,1.1962729390221438,7,1,2,3,3,4.16,-3.57,-0.67875,0.835231439221149,0.7647058823529411,0.5,0.5002273760800364,0
Comoros,0.48060123909578945,1,0,0,0,0,0.0,0.0,0.0,2.0764066178017084,1.0,1.0,0.7096069868995633,0
Mexico,1.2063923240166803,13,1,1,2,2,2.2,-5.24,0.08272727272727276,0.8282312054736775,0.6764705882352942,0.6,0.49549549549549543,0
"Congo, Rep.",0.6932388492004876,4,0,0,0,0,0.0,0.0,0.3033333333333334,1.440426448551012,0.7857142857142857,1.0,0.580875781948168,0
Mongolia,0.6555274692762909,8,1,0,0,1,2.0,0.0,0.9359999999999999,1.5231655137024636,0.8529411764705882,1.0,0.5852101436424897,0
"Congo, Dem. Rep.",14.769885799511526,8,2,3,3,5,4.1,-55.71,-10.888333333333334,0.0677007468321954,0.5714285714285714,0.6666666666666666,0.09541984732824427,1
Cook Islands,1.085847031358563,4,3,0,2,3,3.49,0.0,2.89,0.9200926819940761,0.7857142857142857,0.5,0.5136309758988542,0
Costa Rica,0.7437994399282691,4,3,0,2,3,2.97,0.0,2.2533333333333334,1.3426433297215006,0.9230769230769231,0.3333333333333333,0.6261328060636019,0
Croatia,1.4667175909129146,16,4,2,3,6,2.21,-3.99,0.275,0.681329982137779,0.6521739130434783,0.625,0.35335689045936397,1
Cyprus,0.7960591712188438,3,0,1,1,1,0.0,-2.46,-1.755,1.2546119988442312,0.8571428571428571,1.0,0.5569837189374465,0
Czechia,0.9485133653073459,7,0,1,1,1,0.0,-3.46,-1.1433333333333333,1.0531710627120159,0.875,0.6666666666666666,0.5112247166036897,0
Benin,2.411406788362747,15,5,4,7,9,3.92,-9.39,-0.777,0.41452378795480027,0.7058823529411765,0.5,0.29289074287742967,1
Denmark,0.9114890262081926,3,2,0,1,2,2.14,0.0,2.0,1.095903590375717,0.8571428571428571,0.0,0.5314799672935404,0
Dominica,0.7782466557222442,2,1,0,0,1,1.98,0.0,-0.52,1.2832907175881951,0.6428571428571429,0.75,0.600739371534196,0
Dominican Republic,1.0036612905553195,6,1,2,2,3,1.95,-3.29,-0.2542857142857143,0.9953603362654264,0.7941176470588235,0.5,0.5366726296958855,0
Ecuador,4.089353180822121,20,3,5,7,8,3.07,-25.06,-2.0541666666666663,0.24447766630240222,0.7,0.6363636363636364,0.2796901893287435,1
El Salvador,0.5500735225199581,12,1,0,0,1,1.62,0.0,0.6166666666666667,1.8146398967367974,0.9423076923076923,1.0,0.6277695716395864,0
Equatorial Guinea,1.637718827877262,6,1,2,2,3,2.25,-5.3,-1.504,0.6102328129685093,0.6428571428571429,0.4,0.3864447086801427,0
Ethiopia,0.5465852190299787,4,0,0,0,0,0.0,0.0,-0.42,1.8261997680862398,0.9210526315789473,1.0,0.623946037099494,0
Estonia,0.6956112420023126,7,0,1,0,1,0.0,-1.76,-0.59,1.4355209042071133,0.875,0.6666666666666666,0.5611124664552329,0
Moldova,0.3801778584842003,1,0,0,0,0,0.0,0.0,0.0,2.623447237928825,1.0,1.0,0.7449856733524355,0
Fiji,1.0220859522944001,7,0,1,1,1,0.0,-2.77,0.22749999999999998,0.9774349826203489,0.7142857142857143,1.0,0.4427792915531335,0
Finland,1.058887978022227,7,2,2,1,4,1.78,-3.35,-0.16399999999999998,0.9434959361139477,0.7916666666666666,0.6,0.4921891718382195,0
Montenegro,0.9766101304710982,4,1,0,1,1,3.42,0.0,2.0433333333333334,1.0229026570317068,0.7857142857142857,1.0,0.5058365758754864,0
Montserrat,0.7944517426682198,4,0,0,0,0,0.0,0.0,-0.5275000000000001,1.2571472867048537,0.7142857142857143,0.75,0.5363036303630363,0
Aland Islands,0.7737771788111741,2,0,1,0,1,0.0,-1.96,-0.22999999999999998,1.2906936695456235,0.8571428571428571,1.0,0.6018518518518519,0
Morocco,1.0242468611878004,2,2,0,2,2,2.31,0.0,1.1266666666666667,0.975374846640788,0.7857142857142857,0.5,0.5933363760839799,0
France,1.2095623060521612,7,2,1,2,3,3.7,-3.03,-0.008571428571428516,0.8260623967891098,0.7083333333333334,0.7142857142857143,0.43103448275862066,0
Mozambique,1.2623341475219627,9,3,3,4,6,3.4,-2.7,0.2914285714285714,0.7915562180928188,0.78125,0.42857142857142855,0.5245346869712353,0
Oman,0.49541623398709816,1,0,0,0,0,0.0,0.0,0.0,2.014438552841505,1.0,1.0,0.6735751295336787,0
Namibia,1.0950907653379907,20,6,6,5,12,2.52,-2.78,-0.19428571428571428,0.9123332041682151,0.6666666666666666,0.5714285714285714,0.5021869431394784,1
Nepal,0.7567213794348288,7,1,1,0,2,1.66,-1.77,-0.07000000000000002,1.3197463172358719,0.8125,0.8333333333333334,0.5743931813970724,0
Netherlands,1.221473056834013,5,1,1,2,2,3.56,-2.05,0.88,0.8180139385565041,0.7857142857142857,1.0,0.4608294930875576,0
French Guiana,1.1343066298899274,7,1,0,1,1,3.37,0.0,1.158,0.880819307905349,0.6428571428571429,0.25,0.47601611131453675,0
Curacao,0.8318383869723831,1,1,0,1,1,2.21,0.0,0.42999999999999994,1.2007131463227811,0.8571428571428571,1.0,0.6526104417670683,0
French Polynesia,0.9246965856486138,4,0,1,1,1,0.0,-2.89,-2.89,1.080267568772897,0.9285714285714286,1.0,0.5319148936170213,0
Aruba,0.6654199226574057,4,0,0,0,0,0.0,0.0,-0.14,1.500555379575712,0.8571428571428571,1.0,0.5898366606170599,0
Djibouti,0.9491524629499074,11,1,3,2,4,2.21,-2.77,-0.86,1.052462672038267,0.7647058823529411,0.5,0.5769230769230769,0
New Caledonia,1.279526578585268,5,1,3,2,4,1.66,-3.12,-0.8460000000000001,0.7809287341031257,0.6428571428571429,0.6,0.4623044096728307,0
Gabon,0.8521332773979546,4,0,1,0,1,0.0,-1.89,-1.3633333333333333,1.1721497994428103,0.7857142857142857,1.0,0.5517826825127334,0
Vanuatu,0.832772600462835,5,2,0,0,2,1.83,0.0,0.8725,1.1993677885851497,0.7142857142857143,1.0,0.5596211795092553,0
Georgia,0.7734177396465638,3,2,0,0,2,1.95,0.0,1.0074999999999998,1.291292733630288,0.8333333333333334,0.5,0.604308985811876,0
"Gambia, The",1.1615236738430945,3,2,1,1,3,2.6,-1.84,0.516,0.8601975361879554,0.6428571428571429,0.25,0.5901044030867,0
West Bank and Gaza,0.9589998484580489,10,0,4,3,4,0.0,-3.23,-1.705,1.0416668311002333,0.8235294117647058,0.5,0.538160469667319,0
Germany,1.176495207054505,7,2,1,3,3,3.59,-3.36,0.83,0.8492603570773696,0.875,0.6666666666666666,0.46,0
Ghana,0.9440163735763522,17,3,2,2,5,1.96,-2.34,0.2715384615384615,1.0581827235601917,0.7111111111111111,0.8333333333333334,0.522131244808354,0
Kiribati,0.4077439172333737,0,0,0,0,0,0.0,0.0,-1.14,2.4465195880310717,0.9285714285714286,1.0,0.7656065959952886,0
Greece,1.3312430881406379,7,2,2,3,4,2.54,-4.33,-0.10833333333333332,0.7506137647864722,0.75,0.6666666666666666,0.4448742746615087,0
Greenland,0.6289126508895966,3,0,0,0,0,0.0,0.0,1.12,1.587521696203031,0.8571428571428571,1.0,0.5971520440973818,0
New Zealand,0.8714590158616358,4,0,1,0,1,0.0,-1.98,-0.15999999999999992,1.1461856451932078,0.7142857142857143,0.6666666666666666,0.5351996706463565,0
Grenada,0.8251026528590863,3,0,1,1,1,0.0,-2.19,0.13666666666666671,1.2105033152224685,0.7857142857142857,0.5,0.5971520440973818,0
Nicaragua,0.8530921813270064,11,1,2,1,3,1.69,-3.55,-0.7579999999999998,1.1708338067751611,0.8809523809523809,1.0,0.5447781025777306,0
Niger,0.8129082757116827,9,0,1,1,1,0.0,-4.13,-1.2925,1.228639675798355,0.9245283018867925,1.0,0.5967408767500574,0
Guadeloupe,1.1441664375145313,4,1,1,1,2,3.0,-1.93,-0.32499999999999996,0.8732355116609946,0.7142857142857143,0.6666666666666666,0.49093655589123864,0
Nigeria,0.6898026141606275,12,2,0,0,2,2.0,0.0,1.7033333333333334,1.447591510948563,0.9347826086956522,1.0,0.5909389363099146,0
Norway,1.2090916222604506,5,0,2,2,2,0.0,-2.81,-0.7919999999999999,0.8263837064932328,0.6428571428571429,0.75,0.4378578646008758,0
