country,cluster,cluster_type,volatility_std,extreme_positive_count,extreme_negative_count,stability_inverse_volatility,time_in_normal_range,recovery_speed
Zambia,0,Stable Markets,0.674801925670703,2,0,1.4797235136723605,0.8333333333333334,1.0
Togo,0,Stable Markets,0.6777845457782788,0,3,1.4732215195816263,0.8863636363636364,1.0
British Virgin Islands,0,Stable Markets,0.6851381508238216,1,0,1.4574324409732,0.8571428571428571,1.0
Nigeria,0,Stable Markets,0.6898026141606275,2,0,1.447591510948563,0.9347826086956522,1.0
Samoa,0,Stable Markets,0.690963273804543,0,1,1.4451634036902186,0.8695652173913043,1.0
"Congo, Rep.",0,Stable Markets,0.6932388492004876,0,0,1.440426448551012,0.7857142857142857,1.0
Estonia,0,Stable Markets,0.6956112420023126,0,1,1.4355209042071133,0.875,0.6666666666666666
Puerto Rico,0,Stable Markets,0.705871873671714,0,0,1.4146835335315955,0.7142857142857143,0.6666666666666666
Guatemala,0,Stable Markets,0.7176369333904784,1,1,1.3915232484393343,0.8529411764705882,0.8
Afghanistan,0,Stable Markets,0.7183584682377516,0,1,1.3901275152147023,0.9166666666666666,0.5
Belarus,0,Stable Markets,0.7247115086938618,1,2,1.3779580288037647,0.875,0.3333333333333333
Libya,0,Stable Markets,0.7284289076288692,0,1,1.3709355216681327,0.7857142857142857,0.6666666666666666
Haiti,0,Stable Markets,0.7338554740044964,2,0,1.36081179956466,0.8163265306122449,0.875
Solomon Islands,0,Stable Markets,0.7339701934669821,1,0,1.3605993942187318,0.7857142857142857,0.5
Canada,0,Stable Markets,0.7401103061747772,0,0,1.3493268028634975,0.7857142857142857,0.6666666666666666
Lao PDR,0,Stable Markets,0.7428631500634705,1,1,1.3443332955997007,0.7916666666666666,1.0
United Arab Emirates,0,Stable Markets,0.7437991966236313,1,0,1.3426437683247519,0.7142857142857143,0.75
Costa Rica,0,Stable Markets,0.7437994399282691,3,0,1.3426433297215006,0.9230769230769231,0.3333333333333333
Bahrain,0,Stable Markets,0.7473422296132243,1,0,1.3362870093765034,0.7857142857142857,1.0
Nepal,0,Stable Markets,0.7567213794348288,1,1,1.3197463172358719,0.8125,0.8333333333333334
Burkina Faso,0,Stable Markets,0.7584257769161786,1,2,1.316784378929996,0.8409090909090909,0.5714285714285714
Australia,0,Stable Markets,0.7632342567077588,1,1,1.3084993131659595,0.7857142857142857,1.0
Panama,0,Stable Markets,0.7664197987777178,1,1,1.303067762380794,0.8529411764705882,1.0
Tunisia,0,Stable Markets,0.7730101163632983,1,0,1.2919727776925185,0.76,0.6
Georgia,0,Stable Markets,0.7734177396465638,2,0,1.291292733630288,0.8333333333333334,0.5
Aland Islands,0,Stable Markets,0.7737771788111741,0,1,1.2906936695456235,0.8571428571428571,1.0
Cayman Islands,0,Stable Markets,0.774217181996085,0,1,1.2899610886140682,0.7857142857142857,1.0
Dominica,0,Stable Markets,0.7782466557222442,1,0,1.2832907175881951,0.6428571428571429,0.75
Montserrat,0,Stable Markets,0.7944517426682198,0,0,1.2571472867048537,0.7142857142857143,0.75
Cyprus,0,Stable Markets,0.7960591712188438,0,1,1.2546119988442312,0.8571428571428571,1.0
Guinea,0,Stable Markets,0.8022948778385147,1,0,1.2448728699612457,0.8461538461538461,0.6666666666666666
Chad,0,Stable Markets,0.8023048868244481,0,1,1.2448573591443084,0.8604651162790697,0.8333333333333334
Bermuda,0,Stable Markets,0.8048044508336374,2,0,1.2409958755693884,0.8571428571428571,1.0
Niger,0,Stable Markets,0.8129082757116827,0,1,1.228639675798355,0.9245283018867925,1.0
San Marino,0,Stable Markets,0.8159234783047854,1,1,1.224104859949821,0.8571428571428571,1.0
Sao Tome and Principe,0,Stable Markets,0.8239752448233093,0,1,1.2121575844547638,0.7857142857142857,0.6666666666666666
Grenada,0,Stable Markets,0.8251026528590863,0,1,1.2105033152224685,0.7857142857142857,0.5
Israel,0,Stable Markets,0.8251056781802493,0,4,1.2104988821803115,0.8409090909090909,0.5714285714285714
Thailand,0,Stable Markets,0.8260598204667864,2,1,1.2091023832297976,0.7941176470588235,0.8333333333333334
Turkiye,0,Stable Markets,0.8305923629972695,1,0,1.2025122457783846,0.6428571428571429,0.5
Bhutan,0,Stable Markets,0.8318298000952663,1,0,1.2007255262547176,0.6428571428571429,1.0
Curacao,0,Stable Markets,0.8318383869723831,1,0,1.2007131463227811,0.8571428571428571,1.0
Vanuatu,0,Stable Markets,0.832772600462835,2,0,1.1993677885851497,0.7142857142857143,1.0
Kyrgyz Republic,0,Stable Markets,0.8351259884991405,1,0,1.1959920080884172,0.7916666666666666,0.75
Gabon,0,Stable Markets,0.8521332773979546,0,1,1.1721497994428103,0.7857142857142857,1.0
Nicaragua,0,Stable Markets,0.8530921813270064,1,2,1.1708338067751611,0.8809523809523809,1.0
Paraguay,0,Stable Markets,0.8562944787717599,2,1,1.1664603292822944,0.75,0.5714285714285714
Bulgaria,0,Stable Markets,0.8582409942240388,1,1,1.1638178424006382,0.875,1.0
St. Vincent and the Grenadines,0,Stable Markets,0.8712602296415819,2,0,1.1464468584230962,0.7857142857142857,0.5
New Zealand,0,Stable Markets,0.8714590158616358,0,1,1.1461856451932078,0.7142857142857143,0.6666666666666666
Eswatini,0,Stable Markets,0.8718246693758047,3,2,1.1457054722286253,0.7954545454545454,0.5555555555555556
Sweden,0,Stable Markets,0.8740989529749116,0,1,1.1427279127697336,0.6428571428571429,0.25
Tanzania,0,Stable Markets,0.8743842618495842,1,2,1.1423554701418979,0.7352941176470589,0.4444444444444444
Kenya,0,Stable Markets,0.885683179177267,0,1,1.1277985457307051,0.7857142857142857,0.6666666666666666
St. Lucia,0,Stable Markets,0.8859311370483807,0,1,1.12748324895651,0.8571428571428571,1.0
Ireland,0,Stable Markets,0.8985123759837247,1,0,1.1117134424152642,0.8571428571428571,1.0
United States,0,Stable Markets,0.9033588118002408,0,1,1.1057557984196265,0.7142857142857143,1.0
Austria,0,Stable Markets,0.9049950122637263,0,2,1.1037588358255883,0.75,0.5
Albania,0,Stable Markets,0.9073410919510133,1,0,1.1009080276794632,0.8571428571428571,0.0
Anguilla,0,Stable Markets,0.9098508511995641,1,1,1.0978745847171676,0.7857142857142857,0.5
